 'zoop_name', 'rotifer', 'cladoceran', 'copepod'
 'zoop_initial', 1, 1, 1
 'min_zoo', 0.03, 0.03, 0.03
 'Rgrz_zoo', 0.8, 0.9, 0.8
 'fassim_zoo', 0.8, 0.8, 0.8
 'Kgrz_zoo', 1, 1, 1
 'theta_grz_zoo', 1.08, 1.08, 1.08
 'Rresp_zoo', 0.1, 0.1, 0.08
 'Rmort_zoo', 0.01, 0.04, 0.01
 'ffecal_zoo', 0.03, 0.04, 0.02
 'fexcr_zoo', 0.25, 0.05, 0.04
 'ffecal_sed', 0.1, 0.1, 0.8
 'theta_resp_zoo', 1.08, 1.08, 1.08
 'Tstd_zoo', 20, 20, 20
 'Topt_zoo', 25, 28, 28
 'Tmax_zoo', 30, 35, 35
 'saltfunc_zoo', 1, 1, 1
 'Smin_zoo', 0, 0, 0
 'Smax_zoo', 35, 35, 35
 'Sint_zoo', 10, 10, 10
 'INC_zoo', 0.05, 0.22, 0.15
 'IPC_zoo', 0.0018, 0.024, 0.0125
 'DOmin_zoo', 2, 2, 2
 'Cmin_grz_zoo', 5, 5, 5
 'num_prey', 1, 1, 1
 'prey(1)%zoop_prey', 'PHY_green', 'PHY_green', 'ZOO_rotifer'
 'prey(1)%Pzoo_prey', 0.1, 0.5, 0.5
 'prey(2)%zoop_prey', 'OGM_poc', 'PHY_diatom', 'ZOO_cladoceran'
 'prey(2)%Pzoo_prey', 0.8, 0.3, 0.4
 'prey(3)%zoop_prey', 'PHY_diatom', 'OGM_poc', 'OGM_poc'
 'prey(3)%Pzoo_prey', 0.1, 0.2, 0.1
